name,raw_patents
Shunpei Yamazaki,6749
Kia Silverbrook,4772
Tao Luo,4274
Kangguo Cheng,2944
Jonathan P. Ive,2871
Junyi Li,2756
"Frederick E. Shelton, IV",2667
Shou-Shan Fan,2621
Peter Gaal,2487
Duncan Robert Kerr,2462
